Aircraft Type,Aircraft Code,Aircraft Code (ICAO),Max. Volume [m^3],Max. Weight [ton],Weight/Volume [ton/m^3],Source
Boeing B747F-Unspecified,B744F,B744,858.0,140.0,0.163,https://en.wikipedia.org/wiki/Boeing_747-8#Variants
Boeing 757-200F,B752F,B752,187,35,0.187,https://www.boeing.com/resources/boeingdotcom/company/about_bca/startup/pdf/freighters/757f.pdf
Boeing B767-200,B762,B762,86.9,13.04,0.15,https://en.wikipedia.org/wiki/Boeing_767#Variants
Boeing B767-200SF,B762F,B762,86.9,13.04,0.15,https://en.wikipedia.org/wiki/Boeing_767#Variants
Boeing B767-300,B763,B763,114.1,17.12,0.15,https://en.wikipedia.org/wiki/Boeing_767#Variants
Boeing B767-300ER,B763ER,B763,114.1,17.12,0.15,https://en.wikipedia.org/wiki/Boeing_767#Variants
Boeing B767-300ERF,B763ERF,B763,438.0,58.0,0.132,http://www.boeing.com/farnborough2014/pdf/BCA/bck-767_5_13_2014.pdf
Boeing B767-400ER,B764ER,B764,138.9,20.84,0.15,https://en.wikipedia.org/wiki/Boeing_767#Variants
Boeing B767-Unspecified,B762,B763,114.1,17.12,0.15,https://en.wikipedia.org/wiki/Boeing_767#Variants
Boeing B767F-Unspecified,B762F,B763,438.0,58.0,0.132,http://www.boeing.com/farnborough2014/pdf/BCA/bck-767_5_13_2014.pdf
Boeing B777-200/200ER,B772,B772,150.9,22.64,0.15,https://en.wikipedia.org/wiki/Boeing_777
Boeing B777-200ER,B772ER,B772,90.0,18.0,0.20,http://www.skycargo.com/english/about-us/our-fleet/?plane=5
Boeing B777-200LR,B772LR,B77L,90.0,15.0,0.167,http://www.skycargo.com/english/about-us/our-fleet/?plane=3
Boeing B777-200LRF,B772LRF,B77L,550.0,103.0,0.187,http://www.skycargo.com/english/about-us/our-fleet/?plane=7
Boeing B777-300,B773,B773,125.0,23.0,0.184,http://www.skycargo.com/english/about-us/our-fleet/?plane=4
Boeing B777-300ER,B773ER,B77W,125.0,23.0,0.184,http://www.skycargo.com/english/about-us/our-fleet/?plane=2
Boeing B777-Unspecified,B773,B773,150.9,22.64,0.15,https://en.wikipedia.org/wiki/Boeing_777
Boeing B787-8,B788,B788,136.7,20.5,0.15,https://en.wikipedia.org/wiki/Boeing_787_Dreamliner#Variants
Boeing B787-9,B789,B789,172.5,25.9,0.15,https://en.wikipedia.org/wiki/Boeing_787_Dreamliner#Variants
Boeing B787-Unspecified,B788,B788,136.7,20.5,0.15,https://en.wikipedia.org/wiki/Boeing_787_Dreamliner#Variants
Boeing MD-11,MD11,MD11,157.6,23.64,0.15,https://en.wikipedia.org/wiki/McDonnell_Douglas_MD-11#Variants
Boeing MD-11F,MD11F,MD11,607.9,91.19,0.15,https://en.wikipedia.org/wiki/McDonnell_Douglas_MD-11#Variants
Douglas MD10-Unspecified,MD10,MD10,130.17,19.53,0.15,https://en.wikipedia.org/wiki/McDonnell_Douglas_DC-10#Variants
Ilyushin II-96,IL96,IL96,166.67,25.0,0.15,https://en.wikipedia.org/wiki/Ilyushin_Il-96#Variants
